Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,"2. A  piston/cylinder with a cross-sectional area of 0.01 m^2 is resting on the stops. With an outside pressure of 100 kPa, what should be the water pressure to lift the piston?",a) 178kPa,b) 188kPa,c) 198kPa,d) 208kPa,c,Explanation: Pw = Po + mg/A = 100000 + (100*9.8/0.01) = 198kPa. 
Question 2,3. A large exhaust fan in a lab room keeps the pressure inside at 10 cm water relative vacuum to the hallway? What is the net force acting on the door measuring 1.9 m by 1.1 m?,a) 2020 N,b) 2030 N,c) 2040 N,d) 2050 N,d,"Explanation: Net force acting on the door = Gauge pressure*area= 0.1cm water*1.9*1.1 = 2050 N. "
Question 3,"4. A 5 m long vertical tube having cross sectional area 200 cm^2 is placed in a water. It is filled with 15°C water, with the bottom closed and the top open to 100 kPa atmosphere. How much water is present in tube?",a) 99.9 kg,b) 109.9 kg,c) 89.9 kg,d) 79.9 kg,a,"Explanation: m = _ V = V/v = AH/v= 200 _ 10^(_4) _ 5/0.001001 = 99.9 kg."
Question 4,"5. A 5 m long vertical tube having cross sectional area 200 cm2 is placed in a water. It is filled with 15°C water, with the bottom closed and the top open to 100 kPa atmosphere. What is the pressure at the bottom of tube ?",a) 119 kPa,b) 129 kPa,c) 139 kPa,d) 149 kPa,d,"Explanation: ∆P = _ gH = gH/v = 9.80665 _ 5/0.001001			 = 48.98 kPa			 P(total) = P(top) + ∆P = 149 kPa. "
Question 5,6. Find the pressure of water at 200°C and having specific volume of 1.5 m3/kg.,a) 0.9578 m3/kg,b) 0.8578 m3/kg,c) 0.7578 m3/kg,d) 0.6578 m3/kg,a,"Explanation: The state is superheated vapour between 100 and 150 kPa.			 v = 1.3136 + (0.8689 – 1.3136)(140 _ 100)/(150 – 100)			 = 1.3136 + ( _ 0.4447) _ 0.8 = 0.9578 m3/kg. "
Question 6,7.  Find the pressure of water at 200°C and having specific volume of 1.5 m^3/kg.,a) 141.6 kPa,b) 111.6 kPa,c) 121.6 kPa,d) 161.6 kPa,d,"Explanation: v > vg so that it is superheated vapour.			 Between 100 kPa and 200 kPa,			 P = 100 + (200 – 100)(1.5 _ 2.17226)/(1.08034 _ 2.17226)			   = 161.6 kPa. "
Question 7,8. A 5m^3 container is filled with 840 kg of granite (density is 2400 kg/m^3) and the rest of the volume is air (density is 1.15 kg/m^3). Find the mass of air present in the container.,a) 9.3475 kg,b) 8.3475 kg,c) 6.3475 kg,d) 5.3475 kg,d,"Explanation: Mass of the air (mair) =  _airVair = _air (Vtotal – Vgranite)= _air (Vtotal – (m/_)granite) = 1.15*(5 – 840/2400) = 5.3475 kg. "
Question 8,9. A 100 m tall building receives superheated steam at 200 kPa at ground and leaves saturated vapour from the top at 125 kPa by losing 110 kJ/kg of heat. What should be the minimum inlet temperature at the ground of the building so that no steam will condense inside the pipe at steady state?,a) 363.54°C,b) 263.54°C,c) 163.54°C,d) none of the mentioned,c,"Explanation: FLOT for steam flow  results: q + h(ground) = h(top) + gZtop.			 h(top) = [email protected] kPa = 2685.35 kJ/kg			 H(ground) = 2685.35 + (9.80665*100)/1000 – (–110) = 2796.33 kJ/kg			 Minimum temperature at the ground of the building T(ground)= 163.54°C. "
Question 9,10. The pressure gauge on an air tank shows 60 kPa when the diver is 8 m down in the ocean. At what depth will the gauge pressure be zero?,a) 34.118 m,b) 24.118 m,c) 14.118 m,d) none of the mentioned,b,"Explanation: Pressure at 10 m depth = Patm + _gh = 101.325 + 1000*9.80665*8/1000 = 179.778 kPa			 Absolute pressure of the air in the tank = 179.778 + 60 = 239.778 kPa			 Depth at which gauge pressure is zero (H) = (239.778 – 101.325)*1000/(1000*9.80665) = 14.118 m. "
Question 10,"11. A piston-cylinder device initially contains air at 150 kPa and 27°C. At this state, the volume is 400 litre. The mass of the piston is such that a 350 kPa pressure is required to move it. The air is now heated until its volume has doubled. Determine the final temperature.",a) 1400 K,b) 400 K,c) 500 K,d) 1500 K,a,"Explanation: Final temperature (T3)= 1400 K.–>	P1V1/T1=P3V3/T3. "
Question 11,"12. A piston-cylinder device initially contains air at 150 kPa and 27°C. At this state, the volume is 400 litre. The mass of the piston is such that a 350 kPa pressure is required to move it. The air is now heated until its volume has doubled. Determine work done by the air.",a) 120 kJ,b) 130 kJ,c) 100 kJ,d) 140 kJ,d,Explanation: Work done = P3(V3- V1) = 140 kJ. 
Question 12,13. Find the change in u for carbon dioxide between 600 K and 1200 K for a constant Cv0 value.,a) 291.8 kJ/kg,b) 391.8 kJ/kg,c) 491.8 kJ/kg,d) 591.8 kJ/kg,b,Explanation: _u = Cv0 _T = 0.653 _(1200–600) = 391.8 kJ/kg. 
Question 13,14. Calculate the change in enthalpy of carbon dioxide from 30 to 1500°C at 100 kPa at constant specific heat.,a) 2237.7 kJ/kg,b) 1637.7 kJ/kg,c) 1237.7 kJ/kg,d) 2337.7 kJ/kg,c,Explanation: _h = Cp_T = 0.842 (1500 – 30) = 1237.7 kJ/kg. 
Question 14,"15. A sealed rigid vessel has volume of 1 m3 and contains 2 kg of water at 100°C. The vessel is now heated. If a safety pressure valve is installed, at what pressure should the valve be set to have a maximum temperature of 200°C ?",a) 431.3 kPa,b) 531.3 kPa,c) 631.3 kPa,d) 731.3 kPa,a,"Explanation: Initial specific volume (v1) = 1 m3/2 kg = 0.5 m3/kg			 Interpolating, pressure for the same specific volume at 200°C= 400 + {(0.53422-0.5)/(0.53422-0.42492)}*(500-400) = 431.3 kPa. "
Question 15,16. A system undergoing change in state from A to B along path ‘X’ receives 100 J heat and does 40 J work. It returns to state A from B along path ‘Y’ with work input of 30 J. Calculate the heat transfer involved along the path ‘Y’.,a) – 60 J,b) 60 J,c) – 90 J,d) 90 J,c,"Explanation: ∆UX = AQB – AWB = 100 – 40 = 60 J	    Heat transfer involved along the ‘Y’ (BQA) = ∆UY + BWA = – ∆UX + BWA= – 60 – 30 = – 90 J. "
Question 16,2. Which of the following were used as fixed points before 1954?,a) The ice point,b) The steam point,c) All of the mentioned,d) None of the mentioned,c,Explanation: Both of these were used.
Question 17,3. What is the standard fixed point of thermometry?,a) The ice point,b) The steam point,c) The triple point of water,d) None of the mentioned,c,"Explanation: After 1954, only one fixed point has been used."
Question 18,4. All gases and vapours approach ideal gas behaviour at?,a) High pressure and high density,b) Low pressure and low density,c) High pressure and low density,d) Low pressure and high density,b,Explanation: Comes from ideal gas equation of state.
Question 19,5. The value of ratio of the steam point temperature to the ice point temperature is?,a) 1.466,b) 1.266,c) 1.166,d) 1.366,d,Explanation: This value is a universal constant.
Question 20,6. Celsius temperature of the triple point of water is ( in degree Celsius)?,a) -0.00,b) 0.00,c) 0.01,d) None of the mentioned,c,Explanation: Zero point of degree Celsius is shifted.
Question 21,7. Which of the following is chosen as the standard thermometric substance?,a) Gas,b) Liquid,c) Solid,d) All of the mentioned,a,Explanation: Smallest variation is observed among different gas thermometers.
Question 22,8. A real gas behaves as an ideal gas when?,a) Temperature approaches zero,b) Pressure approaches zero,c) Both temperature and pressure approaches zero,d) None of the mentioned,b,Explanation: It is a property of gas.
Question 23,9. The temperature interval from the oxygen point to the gold point is divided into how many parts?,a) 2,b) 3,c) 4,d) 1,b,Explanation: Taken as international temperature scale.
Question 24,1. The magnitude of mechanical work is the,a) product of the force and distance travelled perpendicular to the force,b) product of the force and distance travelled parallel to the force,c) sum of the force and distance travelled perpendicular to the force,d) sum of the force and distance travelled parallel to the force,b,Explanation: The work is done by a force as it acts upon a body moving in the direction of the force.
Question 25,2. Work done by a system is taken to be,a) positive,b) negative,c) zero,d) varies according to situation,a,"Explanation: In thermodynamics, work done by a system is take to be positive."
Question 26,3. Work done on a system is taken to be,a) positive,b) negative,c) zero,d) varies according to situation,b,"Explanation: In thermodynamics, work done on a system is take to be negative."
Question 27,4. Work is a,a) point function,b) path function,c) depends on the state,d) none of the mentioned,b,Explanation: Amount of work done depends on the path the system follows.
Question 28,5. Thermodynamic properties are,a) point function,b) path function,c) depends on the state,d) none of the mentioned,a,Explanation: For a given state there is a definite value for each property.
Question 29,6. The differentials of point functions are,a) perfect differentials,b) exact differentials,c) all of the mentioned,d) none of the mentioned,c,Explanation: Change in thermodynamic property is independent of path and depends only on initial and final states of the system.
Question 30,"7. In the equation dV=(1/p)dW, (1/p) is known as",a) volume factor,b) pressure factor,c) differential factor,d) integration factor,d,Explanation: Used to convert inexact differential dW into exact differential dV.
Question 31,8. Cyclic integral of a property is always,a) zero,b) one,c) infinite value,d) none of the mentioned,a,Explanation: The initial and final states of the system for a cyclic process are the same.
Question 32,9. Constant pressure process is also known as,a) isopiestic process,b) isobaric process,c) all of the mentioned,d) none of the mentioned,c,Explanation: Isobaric and isopiestic means pressure being constant.
