Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. A bridge circuit is used for the measurement of the following components:,"a) Resistance, capacitance and inductance","b) Diode, triode and thyristor","c) Transistor, thermistor and antenna","d) LED, op amp and transducer",a,"Explanation: A bridge circuit is basically used for the measurement of basic electronic components such as resistance, capacitance and inductance."
Question 2,2. A simple bridge circuit consists of a network of __________,a) 3 resistance arms,b) 2 resistance arms,c) 4 resistance arms,d) 6 resistance arms,c,Explanation: A simple bridge circuit is made of a network consisting of 4 resistance arms. Usually a galvanometer is connected between the ends of the opposite two junctions in order to measure the flow of current.
Question 3,3. What is applied to the two opposite junctions of a bridge circuit.,a) source of voltage,b) source of current,c) source of power,d) source of impedance,b,Explanation: A current source is connected between the two opposite junctions of a bridge circuit. Deflection of the galvanometer in the circuit indicates the flow of current.
Question 4,4. A bridge circuit uses which method of measurement ?,a) absolute,b) relative,c) differential,d) comparison,d,Explanation: A bridge circuit makes use of comparison measurement method.In this method the bridge compares the value of an unknown component with a standard value of a given component.
Question 5,5. The principle on which a bridge circuit operates is,a) null indication,b) ampereÕs rule,c) partial indication,d) kirchhoffÕs laws,a,"Explanation: A bridge circuit operates on the principle of null indication. Based on the deflection of the galvanometer, current flows between the two opposite junctions."
Question 6,6. The accuracy of a bridge depends on the _________,a) null indicator,b) bridge components,c) current source,d) voltage source,b,"Explanation: As a bridge circuit compares the value of an unknown component with the value of a standard, itÕs accuracy depends on the bridge components."
Question 7,7. When is the bridge circuit balanced ?,a) When voltage is applied,b) When current flows through the opposite ends of the bridge circuit,c) When no current flows through the galvanometer,d) When impedance is minimum,c,Explanation: The bridge circuit is said to be balanced when no current flows through the null indicator which is generally a galvanometer.
Question 8,8. Relationship at balance condition between the component values of the four arms of a bridge is known as,a) full load condition,b) open circuit condition,c) short circuit condition,d) balancing condition,d,Explanation: During balance condition or equilibrium there exists a certain relationship between the component values of the four arms of the bridge. This relationship is known as the balancing condition or balancing equation.
Question 9,9. D.C. bridges are used for _________,a) measurement of resistance,b) measurement of capacitance,c) measurement of current,d) measurement of inductance,a,Explanation: Resistance measurements are done by making use of a suitable D.C. bridge.
Question 10,"10. What is used to characterise single port devices, multiport devices etc?",a) current values,b) impedance values,c) voltage values,d) power values,b,"Explanation: Impedance values are used to characterize one port devices, networks, multiport devices and other systems."
Question 11,"1.	What is the relation between the balance equation and the magnitude of input voltage?",a) directly proportional,b) independent,c) inversely proportional,d) depends on the null indicator,b,Explanation: The input voltage does not appear in the expression for the balance equation. Thus balance equation is independent of the magnitude of input voltage.
Question 12,"2.	Accuracy of bridge circuit depends on _________",a) component values,b) null detector,c) voltage source,d) current source,a,Explanation: The accuracy of measurement of a bridge circuit depends on the values of the components used in it. Voltage source supplies dc bias to the circuit while the detector is used for balance condition.
Question 13,"3.	What happens to the balance condition, if the source and detector are interchanged?",a) increases by a factor of 2,b) reduces to half,c) remains unchanged,d) independent of the type of source and detector,c,Explanation: The balance condition is independent of the positions of the source and the detector. Source and detector can be connected across any two sets of opposite arms of the bridge.
Question 14,"4.	The simplest type of bridge used for the measurement of medium resistances is known as",a) Kelvin,b) Schering,c) Anderson,d) Wheatstone,d,"Explanation: Wheatstone bridge is the simplest bridge that is used for the measurement of medium resistances. Kelvin bridge is used for the measurement of low resistance, whereas Schering bridge is used for the measurement of high voltages."
Question 15,"5.	How is the measurement accuracy in a bridge circuit?",a) high,b) low,c) medium,d) inaccurate,a,Explanation: The measurement is done by comparing the unknown value with a standard known value. Thus the measurement accuracy is high in a bridge circuit. 
Question 16,"6.	The bridge circuit can be used in _________",a) high voltage circuits,b) low power circuits,c) control circuits,d) digital integrated circuits,c,Explanation: The bridge circuit is generally used in control applications. Control systems make use of bridge circuits for industrial applications.
Question 17,"7.	Commonly used D.C. bridges are _________",a) Schering and Anderson,b) Maxwell inductance and capacitance,c) DeSauty and Wagner,d) Wheatstone and Kelvin,d,Explanation: Wheatstone and Kelvin are the commonly used bridges for the measurement of resistance. WagnerÕs and De SautyÕs bridges are used for shielding the circuit. 
Question 18,"8.	In control applications, one arm of the bridge circuit contains a _________",a) capacitive element,b) resistive element,c) inductive element,d) impedance element,b,Explanation: One of the arms of a bridge circuit in general consists of a resistive element.  Control systems employ resistive elements for industrial applications.
Question 19,"9.	What are the physical parameters that are to be controlled when a bridge is used in control applications?",a) area and volume,b) mass and weight,c) pressure and temperature,d) current and voltage,c,"Explanation: In control applications, when one of the arms of the bridge circuit consists of a resistance element, sensitive physical parameters such as pressure and temperature are to be controlled."
Question 20,1. Wheatstone bridge consists of _________,a) 4 resistive arms,b) 2 resistive arms,c) 6 resistive arms,d) 8 resistive arms,a,Explanation: A Wheatstone bridge essentially consists of 4 resistive arms. The arms are such that two resistances appear across each end. 
Question 21,2. A galvanometer is used as a  _________,a) current source,b) voltage source,c) null detector,d) input impedance,c,Explanation: A galvanometer is used as a null detector to detect the flow of current across the ends of the two opposite junctions of the circuit. Voltage source is used for providing the required dc supply to the bridge.
Question 22,3. The opposite two ends of a Wheatstone bridge consist of _________,a) voltage and current source,b) e.m.f and null detector,c) resistance and capacitance,d) inductance and impedance,b,Explanation: The two opposite ends of a Wheatstone bridge circuit consists of a source of e.m.f and a null detector. Four arms of a Wheatstone bridge consist of resistances. Inductance and capacitance do not appear in a Wheatstone bridge. 
Question 23,4. The arms consisting of the resistances R1 and R2 are called _________,a) resistance arms,b) impedance arms,c) source arms,d) ratio arms,d,Explanation: The arms consisting of the two resistances R1 and R2 are known as the resistance arms. Sources do not appear on the arms of the bridge and they are connected across opposite ends. Wheatstone bridge is purely resistive in nature.
Question 24,5. The arm consisting of the standard known resistance R3 is known as __________,a) standard arm,b) resistance arm,c) accurate arm,d) known arm,a,Explanation: The arm consisting of the standard known resistance R3 is known as the standard arm. By making use of this resistance value the unknown resistance can be determined using the balance condition.
Question 25,6. Resistance R4 is known as ________,a) standard resistance,b) unknown resistance to be measured,c) resistance arm,d) input resistance,b,"Explanation: R4 is the unknown resistance whose value has to be found by comparison with a standard. R3 is known as the standard resistance. Resistance arm comprises of four resistances including R1, R2, R3, and R4."
Question 26,7. What is connected between the two ends of a Wheatstone bridge?,a) current and voltage source,b) ammeter and voltmeter,c) battery and galvanometer,d) ohmmeter and wattmeter,c,Explanation: A battery is connected between the two ends of the Wheatstone bridge while a galvanometer is connected between the opposite two ends of the circuit. Ammeter is connected in series with the circuit.
Question 27,8. Wheatstone bridge works on the principle of ________,a) full deflection,b) partial deflection,c) no deflection,d) null deflection,d,Explanation: The Wheatstone bridge works on the principle of null deflection. A galvanometer is usually used for measuring the flow of current in the bridge circuit. 
Question 28,9. The balance condition of a Wheatstone bridge depends on the,a) ratio of arms R1 and R1,b) ratio of arms R3 and R4,c) emf source and null detector,d) current source and power source,a,Explanation: The ratio of the arms R1 and R2 determines the balance condition of a Wheatstone bridge. The balance condition is given by the equation R4 = R3R1ÚR2.  
Question 29,10. Balance condition can be obtained by,a) varying the standard resistance R3,b) varying the resistance arms R1 and R2,c) keeping the unknown resistance R4 constant,d) by making use of a null detector,b,Explanation: The balance condition in a Wheatstone bridge can be obtained by varying the resistances R1 and R2. Null detector is used for determining balance condition. 
Question 30,"1. When bridge is balanced, what is the current flowing through the galvanometer?",a) 0,b) depends on the ratio arms R1 and R2,c) varies by a factor of 2,d) depends on the type of null detector used,a,"Explanation: Under bridge balance condition, no current flows through the galvanometer. Current flow is independent of the values of ratio arms R1 and R2."
Question 31,2. Amount of deflection of the galvanometer depends on _________,a) resistance of the ratio arms,b) sensitivity,c) current flowing through the bridge,d) emf across the circuit,b,Explanation: The amount of deflection of the galvanometer depends upon its sensitivity. Resistance of the ratio arms does not affect the amount of deflection of the galvanometer.
Question 32,3. Sensitivity is defined as _________,a) amount of voltage per unit current,b) amount of power per unit voltage,c) amount of resistance per unit voltage,d) amount of deflection per unit current,d,"Explanation: Sensitivity is expressed asThus sensitivity is defined as the amount of deflection per unit current."
Question 33,4. Sensitivity is expressed in,a) cm/A,b) m/mA,c) mm/µA,d) inch/nA,c,"Explanation:where, deflection is in mm and current is in µA.So the unit of sensitivity is mm/ µA."
Question 34,5. What is the relation between the sensitivity and deflection for a galvanometer?,a) directly proportional,b) inversely proportional,c) independant of each other,d) depends on the type of galvanometer used,a,"Explanation:Thus we see that sensitivity is directly proportional to the deflection."
Question 35,6. The voltage sensitivity of a galvanometer is given by _________,a) Sv = eÚ_,b) Sv = _Úe,c) Sv = 1Úe,d) Sv = 1Ú_,b,"Explanation:Voltage sensitivity is defined as the amount of deflection per unit voltage and is given by the relationSv = _Úe."
Question 36,7. Unit of voltage sensitivity is _________,a) volts per degrees,b) amps per ohms,c) degrees per volts,d) watts per amps,c,"Explanation:So the unit of voltage sensitivity is degrees per volts as deflection is measured in degrees and voltage is in volts."
Question 37,9. Maximum sensitivity occurs when,a) R3 Ú R4 = 1,b) R2 Ú R4 = 1,c) R1 Ú R2 = 1,d) R3 Ú R2 = 1,a,"Explanation: Under a small unbalance condition, the bridge sensitivity equation becomesHere E is the emf of the circuit. For maximum bridge sensitivity, we get R3=R4."
Question 38,"1.	The Wheatstone bridge is used for the measurement of _________",a) 1_ to a few megaohms,b) 1k_ to a few megaohms,c) 1M_ to a few gigaohms,d) 1m_ to a few ohms,a,Explanation: A Wheatstone bridge is used for the measurement of medium resistance in the range of 1_ to a few megaohms. Kelvin bridge is used for the measurement of low resistance.
Question 39,"2.	The source of error in a Wheatstone bridge is due to _________",a) range of galvanometer used,b) type of the source of emf used,c) limiting errors of the three known resistances,d) balance condition,c,Explanation: The main source of error in a Wheatstone bridge is because of the limiting errors of the three known resistances. As a result very precise resistances are required with 1 % tolerance.
Question 40,"3.	What is the main source of error in a null detector?",a) lower current detection ability,b) insufficient sensitivity of the null detector,c) wiring resistance,d) power dissipation,b,Explanation: Resistance of contact wires and power dissipation are some of the causes for error in a null detector. But insufficient sensitivity is the major source of error in a null detector such as a galvanometer.
