Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,Relationship between cost and cost drivers is,stationary,not stationary,intrinsic,extrinsic,B,No explanation
Question 2,If actual price input is $700 budgeted price of input is $400 and actual quantity of input are 50 units then price variance will be,$15000 ,$13000 ,$11000 ,$9000 ,A,No explanation
Question 3,Production volume variance is also called,denominator level variance,numerator level variance,price level variance,cost level variance,A,No explanation
Question 4,In value chain analysis coordination acquiring and assembling of resources to produce a product is classified as,resourcing,value acquiring,production,value acquaintance,C,No explanation
Question 5,Which of following is an example of purchasing costs?,incoming freight,storage costs,insurance,spoilage,C,No explanation
Question 6,Formal way of differentiating between non-random and random variations in manufacturing process is classified as,statistical process control,statistical failure control,statistical control of prevention cost,statistical control of sunk cost,A,No explanation
Question 7,If net initial investment is $985000 returned working capital is $7500 then an average investment over five years will be,$596300 ,$485300 ,$496250 ,$486250 ,C,No explanation
Question 8,In budgeted fixed overhead rate number of machine hours are considered as,denominator level,numerator level,fixed level,variable level,A,No explanation
Question 9,Method which ranks cost object incurred by individual users in ranking order of more responsible users is classified as,bundled products allocation method,variable cost allocation method,stand-alone cost allocation method,incremental cost allocation method,D,No explanation
Question 10,Cost function in which cost does not change with any change in level of activity is a part of,step price functions,step object functions,step constant functions,step cost functions,D,No explanation
Question 11,Budgeting method which incorporates an improvement anticipated in budgeting period into budget numbers can be classified as,anticipated budgeting,number budgeting,predict budgeting,kaizen budgeting,D,No explanation
Question 12,Under absorption costing magnitude for favorable volume production variance is affected by choice of,unplanned level,budgeting level,numerator level,denominator level,D,No explanation
Question 13,Cost pattern in which production inputs are to be used in discrete functions but quantities are fractional will be categorized as,continuously variable cost function,fixed cost function,mixed cost function,semi variable cost function,A,No explanation
Question 14,If actual result is $25000 and flexible budget amount is $11000 then flexible budget amount is,$36000 ,$46000 ,$56000 ,$14000 ,D,No explanation
Question 15,Examining of past performance exploring alternative and planning future is,learning,alternating,examining,deciding,A,No explanation
Question 16,Part of master budget which covers capital expenditures budgeted statement of cash flows and balance sheets are classified as,financial budget,capital budget,cash flows budget,balanced budget,A,No explanation
Question 17,When fixed cost is divided into contribution margin per unit it gives,fixed output,variable output,breakeven number of units,total number of units,C,No explanation
Question 18,Range in which relationship exists between level of activity or total cost is called,functional range,relevant range,unit range,related range,B,No explanation
Question 19,Relationship based on unrelated level of activity and past data of cost is measured with help of,cost estimation,price estimation,unit estimation,production estimation,A,No explanation
Question 20,Model which states decline in extra time needed to produce last unit every time for cumulative quantity of doubled units produced is classified as,incremental unit average model,incremental cost learning model,incremental unit time learning model,incremental price learning model,C,No explanation
Question 21,A helpful technique for accurate forecasts about costs to be incurred in future is a part of ,unit estimation,production estimation,cost estimation,price estimation,C,No explanation
Question 22,An approach used for choosing capacity level having no beginning inventory is classified as,write off variance approach,write in variance approach,adjusted variance approach,unadjusted variance approach,A,No explanation
Question 23,If actual input price is $150 and budgeted input price is $80 then price variance will be,$130 ,$70 ,$150 ,$80 ,B,No explanation
Question 24,Difference between budgeted amounts and actual results is classified as,standard deviation,variances,mean average,weighted average,B,No explanation
Question 25,Standard input allows one unit to be divided by standard cost per output unit for variable direct cost input to calculate,standard price per input unit,standard price per output unit,standard cost per input unit,standard cost per output unit,A,No explanation
Question 26,An approach in which company under-costs it's one product and over-costs at least one product is classified as,service-cost across subsidizing,product-price cross subsidizing,product-cost cross subsidizing,product cross subsidizing,C,No explanation
Question 27,If contribution margin percentage is 30% selling price is $5000 then contribution margin per unit will be,$900 ,$1200 ,$1500 ,$1600 ,C,No explanation
Question 28,Cost of previous department is a part of,transferred-in costs,transferred-out costs,FIFO costs,LIFO costs,A,No explanation
Question 29,In 'specification analysis' assumptions related to residuals states must be,worst,independent,dependent,good,B,No explanation
Question 30,If contribution margin is $13000 total variable cost is $7000 then total revenue will be,$6000 ,‰öÕ$6000,$20000 ,‰öÕ$20000,A,No explanation
Question 31,Third step in developing operating budget is ,analysis of batches,analysis of batches,analysis of products,making predictions about future,D,No explanation
Question 32,Deviations between estimated regression line and vertical deviations are classified as,fixed terms,indexed terms,variable terms,residual terms,D,No explanation
Question 33,Current assets are subtracted from current liabilities to calculate,opportunity cost of capital,working capital,total long term assets,weighted average cost of capital,B,No explanation
Question 34,In regression analysis if observed cost value is 50 and predicted cost value is 7 then disturbance term will be,57,43,67,47,B,No explanation
Question 35,In response to challenges arisen by competitors and new entrants strategy which must be considered by company does include,cost leadership,demand inelasticity,differentiated products,both a and c,D,No explanation
Question 36,Time that a company takes to create and produce a new product is classified as,management factor,time factor,customer factor,chain factor,B,No explanation
Question 37,If value added manufacturing time is 65 minutes total manufacturing time is 80 minutes then manufacturing cycle time will be,0.8125,0.6125,0.9125,1.725,A,No explanation
Question 38,Number of observations in regression analysis is considered as,degree of possibility,degree of average,degree of variance,degree of freedom,D,No explanation
Question 39,If an average inventory is 2000 units annual relevant carrying cost of each unit is $5 then annual relevant carrying cost will be,$5000 ,$4500 ,$5500 ,$6000 ,A,No explanation
Question 40,Cost operations such as wages salaries depreciation utilities and rent are summed together to calculate,throughput costs,investments,operating costs,marginal costs,C,No explanation
Question 41,If demand of one year is 25000 units relevant ordering cost for each purchase order is $210 carrying cost of one unit of stock is $25 then economic order quantity will be,678 packages,648 packages,658 packages,668 packages,B,No explanation
Question 42,Labor related to manufacturing of product can be classified under,direct manufacturing labor costs,indirect manufacturing labor costs,work in process cost,finished costs,A,No explanation
Question 43,Budgeted total direct labor cost is divided with budgeted total direct labor to calculate,budgeted indirect labor cost rate,expected direct labor cost rate,budgeted direct labor cost rate,expected indirect labor cost rate,C,No explanation
Question 44,Budgeted direct labor hours are multiplied to direct labor cost rate to calculate,expected total direct labor cost,budgeted total direct labor cost,budgeted total indirect labor cost,expected labor hours,B,No explanation
Question 45,Term which describes assigning of indirect cost to any cost object is classified as,cost allocation,sales tracing,sales allocation,cost tracing,A,No explanation
Question 46,A document which contains information about materials of specific product in specific department comes under,costing method,selling method,material acquisition method,none of above,C,No explanation
Question 47,Purpose of management accounting is to,past orientation,help banks make decisions,help managers make decisions,help investors make decision,C,No explanation
Question 48,First ranked product in incremental revenue allocation method is classified as,primary product,First incremental product,Second incremental product,Third incremental product,A,No explanation
Question 49,Pricing method used by services companies such as home repair services architectural firms and automobile repair services is known as,product life cycle method,life cycle budgeting method,life cycle costing method,time and material method,D,No explanation
Question 50,If budgeted fixed cost is $26000 per unit budgeted denominator level is 1300 units then budgeted fixed cost will be,$50 ,$30 ,$20 ,$40 ,C,No explanation
Question 51,If production is less than sales so an operating income under absorption costing will be called,higher income,zero dividends,negative income value,lower income,D,No explanation
Question 52,Direct material costs are added into direct manufacturing costs to calculate,discuss costs,prime costs,resale cost,merchandise costs,B,No explanation
Question 53,Estimation of cost functions of an ignoring information from all points but considering two observation points can be classified as,disadvantage of low high method,disadvantage of high low method,advantage of high low method,advantage of low high method,B,No explanation
