Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 1,1. Spectroscopy deals with interaction of electromagnetic radiation with matter. What is the speed of this radiation in vacuum in m/s?,a) 6 x 108,b) 5 x 108,c) 7 x 108,d) 3 x 108,d,Explanation: Speed of light is also the speed of all electromagnetic radiations. Speed of light is 3 x 108m/s.
Question 2,2. Which type of Quantum Transition takes place in Ultra Violet and Visible spectroscopy?,a) Rotation of molecules,b) Nuclear,c) Bonding electrons,d) Spin of nuclei in magnetic field,c,"Explanation: In UV and Visible Spectroscopy, type of Quantum Transmission is Bonding electrons. The rest of the options are Quantum Transmission type of other spectroscopic methods."
Question 3,3. Which of the following is not a property or parameter of electromagnetic radiation?,a) Wavelength,b) Voltage,c) Wave number,d) Amplitude,b,"Explanation: Wavelength, Amplitude and Wavenumber are parameters of electromagnetic radiation. Other parameters are Velocity and Frequency."
Question 4,4. Which of the following is not a type of Spectroscopy?,a) Gamma ray,b) X ray,c) Nuclear magnetic resonance,d) Sound,d,"Explanation: Sound is not a type of electromagnetic radiation. Hence, it is not a type of Spectroscopy."
Question 5,6. Which of the following is false about wavelengths of electromagnetic radiation?,a) Radiation with short wavelengths have high energies,b) Energy does not depend on wavelength,c) Radiation with long wavelengths have low energies,d) Energy depends on wavelength,b,"Explanation: The radiations with short wavelength have high energies and vice versa. Thus, energy depends on wavelength."
Question 6,7. Which of the following is the wavelength of microwave radiation?,a) 10 Ð 780nm,b) 0.78 Ð 30µm,c) 0.6 Ð 10 m,d) 0.75 Ð 3.75 mm,d,Explanation: The wavelength of Microwave radiation is 0.75 Ð 3.75 mm. The rest of the options are the wavelength of other Electro Magnetic radiations.
Question 7,8. How is wave number of electromagnetic radiation related to wavelength?,a) It is the reciprocal of wavelength,b) It is directly proportional to wavelength,c) It is not related to wavelength,d) It is equal to wavelength,a,Explanation: Wave number is the number of waves spread in a length of one centimeter. It is the reciprocal of wavelength.
Question 8,9. Which of the following is the wavenumber of UV and Visible radiation?,a) 1 x 106 to 1.3 x 104  m-1,b) 1 x 106 to 1.3 x 104 m,c) 13 Ð 27 m-1,d) 1 x 106 to 1.3 x 104 m2,a,"Explanation: Wave number of UV, Visible radiation is 1 x 106 to 1.3 x 104 m-1. Wave number is the reciprocal of wavelength. So, the unit is m-1."
Question 9,1. Beer LambertÕs law gives the relation between which of the following?,a) Reflected radiation and concentration,b) Scattered radiation and concentration,c) Energy absorption and concentration,d) Energy absorption and reflected radiation,c,Explanation: Beer LambertÕs law give the relation between Energy absorption and Concentration. It was proposed by Beer and Lambert.
Question 10,"2. In which of the following ways, absorption is related to transmittance?",a) Absorption is the logarithm of transmittance,b) Absorption is the reciprocal of transmittance,c) Absorption is the negative logarithm of transmittance,d) Absorption is a multiple of transmittance,c,Explanation: Transmittance is the ratio of the radiant power transmitted by a sample to the radiant power incident on the sample. Absorption is the negative logarithm of transmittance.
Question 11,"3. Which of the following is not a limitation of Beer LambertÕs law, which gives the relation between absorption, thickness and concentration?",a) Concentration must be lower,b) Radiation must have higher bandwidth,c) Radiation source must be monochromatic,d) Does not consider factors other than thickness and concentration that affect absorbance,b,"Explanation: The law is derived assuming that the radiation is monochromatic. So, if bandwidth increases it will create deviation."
Question 12,4. BeerÕs law states that the intensity of light decreases with respect to ___________,a) Concentration,b) Distance,c) Composition,d) Volume,a,Explanation: BeerÕs law states that the intensity of light decreases with the concentration of the medium. It was stated by Beer.
Question 13,5. LambertÕs law states that the intensity of light decreases with respect to __________,a) Concentration,b) Distance,c) Composition,d) Volume,b,Explanation: LambertÕs law states that the intensity of light decreases with respect to concentration of the medium. It was stated by Lambert.
Question 14,"6. The representation of Beer LambertÕs law is given as A = abc. If ÔbÕ represents distance, ÔcÕ represents concentration and ÔAÕ represents absorption, what does ÔaÕ represent?",a) Intensity,b) Transmittance,c) Absorptivity,d) Admittance,c,Explanation: ÔaÕ represents the absorption constant. It is also known as absorptivity.
Question 15,7. Which of the following is not true about Absorption spectroscopy?,a) It involves transmission,b) Scattering is kept minimum,c) Reflection is kept maximum,d) Intensity of radiation leaving the substance is an indication of concentration,c,"Explanation: In Absorption spectroscopy, reflection must also be kept minimum along with scattering. Amount of absorption depends on the number of molecules in the material."
Question 16,"8. Transmittance is given as T = P/Po. If Po is the power incident on the sample, what does P represent?",a) Radiant power transmitted by the sample,b) Radiant power absorbed by the sample,c) Sum of powers absorbed and scattered,d) Sum of powers transmitted and reflected,a,Explanation: P represents radiant power transmitted by the sample. Transmittance is the ratio of radiant power transmitted by the sample to the radiant power that is incident on it.
Question 17,9. What is the unit of absorbance which can be derived from Beer LambertÕs law?,a) L mol-1 cm-1,b) L gm-1 cm-1,c) Cm,d) No unit,d,"Explanation: Absorbance has no unit. The units of absorptivity, distance and concentration cancel each other. Hence, absorption has no unit."
Question 18,10. What is the unit of molar absorptivity or absorptivity which is used to determine absorbance A in Beer LambertÕs formula?,a) L mol-1 cm-1,b) L gm-1 cm-1,c) Cm,d) No unit,a,Explanation: The unit of absorptivity is L mol-1 cm-1. If concentration is represented as gm per litre it becomes L gm-1 cm-1.
Question 19,2. Which of the following detectors does not require a battery and is also known as barrier layer cell?,a) Photomultiplier tube,b) Photovoltaic cell,c) Photoemissive tubes,d) Photo reflector,b,Explanation: Photovoltaic cell does not require a battery for operation. Its working is entirely different from Photomultiplier tube or Photoemissive tubes.
Question 20,3. Which of the following detectors is used to detect light intensities which are very weak?,a) Photomultiplier tube,b) Photovoltaic cell,c) Photoemissive tubes,d) Photo reflector,a,"Explanation: PMT is used for detection of light intensities which are weak. As the name suggests, Photomultiplier tube multiplies the incident electrons using dynodes causing an avalanche of electrons."
Question 21,4. How is Tungsten Halogen lamp differ from normal Tungsten filament lamp used in absorption spectroscopy?,a) It has a tungsten filament and is filled with inert gas,b) Iodine is added to normal filling gas,c) Iodine is coated on tungsten filament,d) Iodine is added to inert gas,b,Explanation: In Tungsten filament lamp tungsten filament is enclosed in a bulb of glass filled with inert gas or vacuum. In Tungsten Halogen lamp iodine is added to normal filling glass.
Question 22,"5. Instead of glass filters, why gelatin filters could not be used for a long period while both are Absorption filters?",a) Gelatin tends to evaporate and hence they deteriorate,b) Gelatin is affected by humidity in environment,c) They deteriorate due to absorption of heat leading to changes in gelatin,d) Gelation is affected by temperature in environment,c,Explanation: With absorption of heat they deteriorate due to changes in gelatin. Bleaching of dye occurs.
Question 23,6. How does continuous wedge filter differ from normal interference filter used in absorption spectroscopy?,a) It permits continuous selection of different wavelength,b) It allows narrow band of wavelengths to pass,c) It has two semi-transparent layers of silver,d) Space layer is made of a substance having low refractive index,a,Explanation: It allows continuous selection of wavelength by using a spacer film of graded thickness. Rest of the options are properties of normal interference filters.
